3, 9
30, 9
6, 23
52, 11
63, 94
69, 52
8, 5
72, 33
93, 45
47, 10
52, 68
60, 21
65, 33
12, 48
60, 80
33, 16
63, 3
80, 78
85, 56
53, 47
91, 66
87, 65
6, 32
71, 77
8, 60
91, 46
85, 3
78, 20
6, 32
41, 61
63, 2
85, 19
44, 48
8, 40
68, 10
63, 90
85, 73
84, 91
87, 1
79, 75
52, 21
71, 85
30, 86
65, 78
70, 90
75, 11
44, 26
54, 18
74, 89
60, 87
85, 31
85, 27
69, 13
30, 43
77, 20
71, 42
30, 16
85, 59
88, 3
13, 24
30, 74
2, 5
60, 91
80, 77
65, 52
68, 58
67, 8
85, 70
44, 9
70, 61
85, 2
74, 81
30, 35
6, 6
38, 57
41, 68
65, 63
82, 79
17, 6
86, 51
52, 68
44, 84
65, 18
13, 16
30, 29
2, 44
85, 59
6, 21
44, 84
65, 89
65, 62
69, 95
80, 13
30, 9
81, 75
69, 37
30, 73
25, 86
60, 6
25, 65
44, 26
52, 11
81, 76
44, 83
70, 84
65, 77
74, 38
38, 80
75, 75
5, 66
25, 9
6, 93
84, 35
33, 87
44, 73
16, 96
27, 10
